rating,text
10,눈과 영혼이 맑아진거 같습니다
8,아이들이 좋아했어요.
10,와우~ 노래가 귓가에서 떠나질 않아요~
10,예쁘고 좋은 영화에요
10,영화가 정말 감동적입니당
10,이유 없이 울었어요 ㅎㅎ
10,하투핑하츄핑핫추핑핑퐁핑
8,Hot chw ping ~
10,볼만했어요 너무좋아요
6,애기들 보는 재미에 보러간 영화 아가들 입장에서는 충격이었는지 우는 부분도 있었고 나혼자서 현실반영 안된 부분에 사이코처럼 깔깔 웃는 장면도 있었음 대사의 표현이 단순해서 아쉽
10,노래도 많이 나오고 뮤지컬 같았어요 ㅋㅋ 애들이랑 잼있게 잘봤네요 ㅎ
10,너무 재밌었어요 내용도 탄탄하고 노래도 유치하지 않고 재밌었습니다
10,아이가 좋아햇요^^
7,사랑의하츄핑 재밌어요
10,요즘 애들이 왜 하츄핑에 열광하는 이유를 알겠음
10,아이들 만화였는데 정말 따뜻하네요~
8,노래에 힘쓴게 느껴진다.
10,아이들이 생각보다 잼있었데요.
10,아이들과 재미있게 봤습니다
10,아이들이 너무 좋아한 사랑스런 영화
10,막내를위해 온가족이 다같이 재미있게 잘 봤습니다 스토리가 너무 짧고 아쉬웠어요
10,핑쥬 쟈이아요 강추
10,영상이 너무 예뻤어요~ 아이랑 재미있게보고왔어요
10,아이랑 같이보기 좋아요
10,아이들이 너무 좋아해요
5,무난한 어린이 영화였음
10,아이랑 같이 봤는데 감동도 있고 노래가 정말 좋네요~~완성도 높은 만화영화였습니다~~
10,어른들이 보기에도 재밌어요
10,감동적이네요 다들 꼭 한번쯤 봤으면 좋겠어요 ^^
10,20대 여자 둘이서 보고 글썽이며 나옴
10,애들이 너무 좋아해서 자꾸보러가자함
10,아이들이 좋아해요.
10,아이들하고 재미있게 관람 했습니다~~
7,재미와 감동을 갖춘 영화네요.
8,아이가 어려서 잘 볼까 걱정했는데 생각보다 집중해서 잘 볼만큼 재미있었어요~ 중간에 슬픈 내용도 살짝 있었어요
10,저는 영화 시작 5분만에 잠들었는데 아이는 재미있게 봤데요^^
